,created_at,text
0,Mon Apr 06 22:19:49 PDT 2009,be upset that -PRON- can not update -PRON- facebook by text -PRON-     and may cry as a result   school today also   blah
1,Mon Apr 06 22:19:53 PDT 2009,i dive many time for the ball   manage to save       the rest go out of bound
2,Mon Apr 06 22:19:57 PDT 2009,-PRON- whole body feel itchy and like -PRON- on fire
3,Mon Apr 06 22:19:57 PDT 2009,no   -PRON- s not behave at all   i m mad   why be i here   because i can not see -PRON- all over there
4,Mon Apr 06 22:20:00 PDT 2009,
5,Mon Apr 06 22:20:03 PDT 2009,
6,Mon Apr 06 22:20:03 PDT 2009,hey   long time no see   yes    rain a bit   only a bit   lol    i m fine thank    how s -PRON-
7,Mon Apr 06 22:20:05 PDT 2009,nope -PRON- do not have -PRON-
8,Mon Apr 06 22:20:09 PDT 2009,
9,Mon Apr 06 22:20:16 PDT 2009,spring break in plain city     -PRON- s snow
10,Mon Apr 06 22:20:17 PDT 2009,i just re pierce -PRON- ear
11,Mon Apr 06 22:20:19 PDT 2009,i could not bear to watch -PRON-    and i think the ua loss be embarrass
12,Mon Apr 06 22:20:19 PDT 2009,-PRON- -PRON- count   idk why i do either   -PRON- never talk to -PRON- anymore
13,Mon Apr 06 22:20:20 PDT 2009,i would ve be the first   but i do not have a gun      not really though   zac snyder s just a doucheclown
14,Mon Apr 06 22:20:20 PDT 2009,i wish i get to watch -PRON- with -PRON-    i miss -PRON- and    how be the premiere
15,Mon Apr 06 22:20:22 PDT 2009,hollis   death scene will hume severely to watch on film   wry be director cut not out now
16,Mon Apr 06 22:20:25 PDT 2009,
17,Mon Apr 06 22:20:31 PDT 2009,ahh -PRON- have always want to see rent   love the soundtrack
18,Mon Apr 06 22:20:34 PDT 2009,oh dear   be -PRON- drink out of the forget table drink
19,Mon Apr 06 22:20:37 PDT 2009,i be out most of the day so do not get much do
20,Mon Apr 06 22:20:38 PDT 2009,one of -PRON- friend call -PRON-   and ask to meet with -PRON- at mid valley today    but i ve no time   sigh
21,Mon Apr 06 22:20:40 PDT 2009,i bake -PRON- a cake but i at -PRON-
22,Mon Apr 06 22:20:40 PDT 2009,this week be not go as i have hop
23,Mon Apr 06 22:20:41 PDT 2009,blagh class at    tomorrow
24,Mon Apr 06 22:20:44 PDT 2009,i hate when i have to call and wake people up
25,Mon Apr 06 22:20:50 PDT 2009,just go to cry -PRON- to sleep after watch marley and -PRON-
26,Mon Apr 06 22:20:52 PDT 2009,-PRON- be sad now   miss lilly
27,Mon Apr 06 22:20:56 PDT 2009,ooooh      lol   that leslie      and ok i will not do -PRON- again so leslie will not   get mad again
28,Mon Apr 06 22:21:04 PDT 2009,meh     almost lover be the exception     this track get -PRON- depressed every time
29,Mon Apr 06 22:21:07 PDT 2009,some   hack -PRON- account on aim   now i have to make a new one
30,Mon Apr 06 22:21:07 PDT 2009,i want to go to promote gear and groove but unfornately no ride there   i may b go to the one in anaheim in may though
31,Mon Apr 06 22:21:09 PDT 2009,think sleep in be an option tomorrow but realize that -PRON- now be not   evaluation in the morning and work in the afternoon
32,Mon Apr 06 22:21:11 PDT 2009,awe i love -PRON- too        be here   i miss -PRON-
33,Mon Apr 06 22:21:21 PDT 2009,i cry -PRON- asian eye to sleep at night
34,Mon Apr 06 22:21:20 PDT 2009,ok i m sick and spend an hour sit in the shower because i be too sick to stand and hold back the puke like a champ   bed now
35,Mon Apr 06 22:21:27 PDT 2009,ill tell ya the story later   not a good day and ill be workin for like three more hour
36,Mon Apr 06 22:21:30 PDT 2009,sorry   bed time come here   gmt
37,Mon Apr 06 22:21:32 PDT 2009,i do not either   -PRON- depressing   i do not think i even want to know about the kid in suitcase
38,Mon Apr 06 22:21:39 PDT 2009,bed   class        work        gym      or     then class        another day that s go to fly by   i miss -PRON- girlfriend
39,Mon Apr 06 22:21:39 PDT 2009,really do not feel like get up today     but get to study to for tomorrow practical exam
40,Mon Apr 06 22:21:46 PDT 2009,-PRON- s the reason for the teardrop on -PRON- guitar the only one who have enough of -PRON- to break -PRON- hea
41,Mon Apr 06 22:21:49 PDT 2009,sad   sad   sad   i do not know why but i hate this feeling   i wanna sleep and i still can not
42,Mon Apr 06 22:21:53 PDT 2009,a soo wish i be there to see -PRON- finally comfortable   -PRON- be sad that i miss -PRON-
43,Mon Apr 06 22:21:56 PDT 2009,fall asleep   just hear about that tracy girl s body be find   how sad   -PRON- heabreak for that family
44,Mon Apr 06 22:22:05 PDT 2009,yay   i m happy for -PRON- with -PRON- job   but that also mean less time for -PRON- and -PRON-
45,Mon Apr 06 22:22:06 PDT 2009,just check -PRON- user timeline on -PRON- blackberry   -PRON- look like the twanking be still happen   be ppl still have prob w   bgs and uid
46,Mon Apr 06 22:22:07 PDT 2009,oh man    be iron   s fave top to wear to a meeting   burn -PRON-
47,Mon Apr 06 22:22:13 PDT 2009,be strangely sad about lilo and samro break up
48,Mon Apr 06 22:22:25 PDT 2009,oh   i m so sorry   i do not think about that before retweet
49,Mon Apr 06 22:22:23 PDT 2009,broadband plan   a massive break promise    via   still wait for broadband -PRON- be
50,Mon Apr 06 22:22:24 PDT 2009,wow   ton of reply from -PRON-   may have to unfollow so i can see -PRON- friend   tweet   -PRON- re scroll the feed a lot
51,Mon Apr 06 22:22:26 PDT 2009,-PRON- duck and chicken be take wayyy too long to hatch
52,Mon Apr 06 22:22:30 PDT 2009,put vacation photo online a few yrs ago   pc crash   and now i forget the name of the site
53,Mon Apr 06 22:22:32 PDT 2009,
54,Mon Apr 06 22:22:37 PDT 2009,not sure what -PRON- be   only that -PRON- be pos   as much as i want to   i do not think can trade away company asset sorry andy
55,Mon Apr 06 22:22:47 PDT 2009,i hate when that happen
56,Mon Apr 06 22:22:47 PDT 2009,i have a sad feeling that dalla be not go to show up   i get to say though   -PRON- d think more show would use music from the game   mmm
57,Mon Apr 06 22:22:49 PDT 2009,
58,Mon Apr 06 22:22:49 PDT 2009,where do u move to    i think u be already in sd      hmmm   random u find -PRON-   glad to hear y do well
59,Mon Apr 06 22:22:52 PDT 2009,i miss -PRON- ps    -PRON- s out of commission   wutcha playing   have -PRON- cop   blood on the sand
60,Mon Apr 06 22:22:55 PDT 2009,just leave the parking lot of work
61,Mon Apr 06 22:23:03 PDT 2009,the life be cool   but not for -PRON-
62,Mon Apr 06 22:23:08 PDT 2009,sadly though   i ve never get to experience the post coitus cigarette before   and now i never will
63,Mon Apr 06 22:23:09 PDT 2009,i have such a nice day   too bad the rain come in tomorrow at   be
64,Mon Apr 06 22:23:15 PDT 2009,too bad i will not be around i lose -PRON- job and can not even pay -PRON- phone bill lmao aw shucks
65,Mon Apr 06 22:23:23 PDT 2009,damm back to school tomorrow
66,Mon Apr 06 22:23:28 PDT 2009,mo job   no money    how in the hell be min wage here    f n clam an hour
67,Mon Apr 06 22:23:28 PDT 2009,not forever     see -PRON- soon
68,Mon Apr 06 22:23:30 PDT 2009,agree   i see the failwhale allllll day today
69,Mon Apr 06 22:23:35 PDT 2009,oh   haha     dude i do not really look at -PRON- unless someone say hey i add -PRON-   sorry   i m so terrible at that   i need a pop up
70,Mon Apr 06 22:23:39 PDT 2009,i m sure -PRON- re right        i need to staworking out with -PRON- and the nikster     or jar at least
71,Mon Apr 06 22:23:43 PDT 2009,i really hate how people diss -PRON- band    trace be clearly not ugly
72,Mon Apr 06 22:23:43 PDT 2009,gym attire today be   puma singlet   adidas short        and black business sock and leather shoe   lucky do not run into any cute girl
73,Mon Apr 06 22:23:45 PDT 2009,why will not -PRON- show -PRON- location
74,Mon Apr 06 22:25:44 PDT 2009,no picnic   -PRON- phone smell like citrus
75,Mon Apr 06 22:25:44 PDT 2009,-PRON- donkey be sensitive about such comment   nevertheless   -PRON- d   and -PRON- d   be glad to see -PRON- mug asap   charger be still awol
76,Mon Apr 06 22:25:45 PDT 2009,no new csi tonight    fml
77,Mon Apr 06 22:25:46 PDT 2009,i think -PRON- arm be sore from tennis
78,Mon Apr 06 22:25:49 PDT 2009,wonder why someone that u like so much can make -PRON- so unhappy in a split seccond    depress
79,Mon Apr 06 22:25:52 PDT 2009,sleep soon     i just hate say bye and see -PRON- tomorrow for the night
80,Mon Apr 06 22:25:53 PDT 2009,just get ur newsletter   those fare really be unbelievable   shame i already book and pay for mine
81,Mon Apr 06 22:25:53 PDT 2009,
82,Mon Apr 06 22:25:54 PDT 2009,
83,Mon Apr 06 22:25:54 PDT 2009,damn     i do not have any chalk   -PRON- chalkboard be useless
84,Mon Apr 06 22:25:56 PDT 2009,have a blast at the getty villa   but hat that -PRON- s have a sore throat all day   -PRON- s just get worse too
85,Mon Apr 06 22:26:02 PDT 2009,hey miss ya at the meeting   sup mama
86,Mon Apr 06 22:26:06 PDT 2009,-PRON- tummy hurt    i wonder if the hypnosis have anything to do with -PRON-   if so   -PRON- s work   i get -PRON-   stop smoke
87,Mon Apr 06 22:26:08 PDT 2009,why be -PRON- always the fat one
88,Mon Apr 06 22:26:10 PDT 2009,sorry   babe     -PRON- fam annoy -PRON- too   thankfully   -PRON- re asleep right now   muahaha    evil laugh
89,Mon Apr 06 22:26:10 PDT 2009,i should have pay more attention when -PRON- cover photoshop in -PRON- webpage design class in undergrad
90,Mon Apr 06 22:26:14 PDT 2009,wednesday -PRON- b day   do not know what    do
91,Mon Apr 06 22:26:18 PDT 2009,poor cameron   the hill
92,Mon Apr 06 22:26:21 PDT 2009,pray for -PRON- please   the ex be threaten to stash    at -PRON- -PRON- baby   st birthday party   what a jerk   and i still have a headache
93,Mon Apr 06 22:26:22 PDT 2009,hmm     do u really enjoy be with -PRON-    if the problem be too constant u should think thing more    find someone ulike
94,Mon Apr 06 22:26:27 PDT 2009,strider be a sick little puppy
95,Mon Apr 06 22:26:28 PDT 2009,so rylee grace    wana go steve s party or not    sadly since -PRON- easter i wnt b able    do much   but ohh well
96,Mon Apr 06 22:26:29 PDT 2009,hey   i actually win one of -PRON- bracket pool   too bad -PRON- be not the one for money
97,Mon Apr 06 22:26:29 PDT 2009,-PRON- do not follow -PRON-   either   and i work for -PRON-
98,Mon Apr 06 22:26:33 PDT 2009,a bad nite for the favorite team   astro and spartan lose    the nite out with t w   be good
99,Mon Apr 06 22:26:33 PDT 2009,body of miss northern calif   girl find   police have find the remain of a miss northern california girl
100,Mon Apr 06 22:26:38 PDT 2009,i hope -PRON- will increase the capacity fast   yesterday be such a pain   get the fail whale      time in    hour
101,Mon Apr 06 22:26:42 PDT 2009,behind on -PRON- class for work
102,Mon Apr 06 22:26:43 PDT 2009,
103,Mon Apr 06 22:26:45 PDT 2009,remember -PRON- bum leg   strike back this time -PRON- serious
104,Mon Apr 06 22:26:45 PDT 2009,cool   i will   -PRON- be all kind of complaint about this laptop online about overheat   but no recall
105,Mon Apr 06 22:26:48 PDT 2009,emily will be glad when mommy be do training at -PRON- new job   -PRON- miss -PRON-
106,Mon Apr 06 22:26:49 PDT 2009,would rather the first party send bad message than the   rd party send mixed one   sophmore year all over again
107,Mon Apr 06 22:26:52 PDT 2009,
108,Mon Apr 06 22:26:54 PDT 2009,i know   i hear -PRON- this afternoon and wonder the same thing   moscow be so behind the time
109,Mon Apr 06 22:26:54 PDT 2009,lay in bed with no voice
110,Mon Apr 06 22:26:57 PDT 2009,i m sooo sad     -PRON- kill off kutner on house   whyyyyyyyy
111,Mon Apr 06 22:27:00 PDT 2009,sorry   tell -PRON- mea culpa from -PRON- and that i really be sorry
112,Mon Apr 06 22:26:58 PDT 2009,-PRON- do not make any sense to -PRON-   the suicide thing   i refuse to believe that that be actually what happen
113,Mon Apr 06 22:27:02 PDT 2009,
114,Mon Apr 06 22:27:08 PDT 2009,damn   the grind be inspirational and sadden at the same time    do not want -PRON- to stop cuz i like what u do   much love
115,Mon Apr 06 22:27:15 PDT 2009,yeah aw but i know i wudnt stand a chance
116,Mon Apr 06 22:27:16 PDT 2009,ugh   can not sleep   -PRON-      be
117,Mon Apr 06 22:27:16 PDT 2009,hang in crooner   wanna sing   can not   suck
118,Mon Apr 06 22:27:18 PDT 2009,aaw i miss ya all too    -PRON- be leave to bh tomorrow   morning   i think    aww i wanna go to the beach w u girl
119,Mon Apr 06 22:27:21 PDT 2009,be pissed off that there s no asba s for a radio station
120,Mon Apr 06 22:27:22 PDT 2009,wednesday -PRON- b day n do not know what    do
121,Mon Apr 06 22:27:25 PDT 2009,i know -PRON- life have be flip upside down when i just think in -PRON- head that some raman sound good
122,Mon Apr 06 22:27:31 PDT 2009,i be in pain   -PRON- back and side hurt   not to mention cry be make of fail
123,Mon Apr 06 22:27:34 PDT 2009,late night snack   glass of oj b c i m   down with the sickness    then back to sleep    ugh i hate get sick
124,Mon Apr 06 22:27:35 PDT 2009,but    but    but    i m not a big fan on camilla belle
125,Mon Apr 06 22:27:45 PDT 2009,wah i can not see clip   must be el stupido work filter   can not wait   till i get a   puter   something else    blame ex     -PRON- break -PRON-
126,Mon Apr 06 22:27:45 PDT 2009,this week just seem to get long and long in term of how much i need to do    and how much i m actually go to get do
127,Mon Apr 06 22:27:55 PDT 2009,
128,Mon Apr 06 22:27:56 PDT 2009,ehhh do not   weather s go to take a turn for the ugly tomorrow
129,Mon Apr 06 22:27:56 PDT 2009,haha -PRON- so cooooold in the d   and no   but -PRON- should still go to the show   -PRON- do some incredible stuff
130,Mon Apr 06 22:27:57 PDT 2009,hop the tummy rumble go away soon
131,Mon Apr 06 22:28:02 PDT 2009,no   no notice   -PRON- tell -PRON- i d be work tomorrow   and then i call the agency to follow up and -PRON- say -PRON- be over
132,Mon Apr 06 22:28:03 PDT 2009,
133,Mon Apr 06 22:28:04 PDT 2009,i m miss -PRON- babe     but as long as -PRON- alive i m happy    ya i m tired -PRON- love imma try to sleep hopefully -PRON- have a headstart
134,Mon Apr 06 22:28:05 PDT 2009,
135,Mon Apr 06 22:28:07 PDT 2009,
136,Mon Apr 06 22:28:09 PDT 2009,thank -PRON- for let people know   but now i m sad that the direct message i get be not actually from bridget
137,Mon Apr 06 22:28:11 PDT 2009,and   india miss out -PRON-     th test victory n    th consecutive win without a loss
138,Mon Apr 06 22:28:11 PDT 2009,i guess that s a no then
139,Mon Apr 06 22:28:15 PDT 2009,sadly be go to bed
140,Mon Apr 06 22:28:18 PDT 2009,shame to hear this stephan
141,Mon Apr 06 22:28:21 PDT 2009,hey   i m leavin in the morning
142,Mon Apr 06 22:28:23 PDT 2009,be intend to finish edit -PRON-      page novel manuscript tonight   but that will probably not happen   and only     page be leave
143,Mon Apr 06 22:28:24 PDT 2009,lay around too much today     now -PRON- head hurt
144,Mon Apr 06 22:28:24 PDT 2009,i still have not read the   th    th princess diary   save francesca make -PRON- cry at the end   hmm those be easy book
145,Mon Apr 06 22:28:26 PDT 2009,-PRON- nokia       die
146,Mon Apr 06 22:28:26 PDT 2009,-PRON- mom may have breast cancer will not find out anything for   like a week i m so worried
147,Mon Apr 06 22:28:33 PDT 2009,go to sleep   hop tomorrow be a good day
148,Mon Apr 06 22:28:32 PDT 2009,lol    wish -PRON- understand daylight saving have end though and breakfast be an hour later   -PRON- keep wake the kid up too
149,Mon Apr 06 22:28:32 PDT 2009,
150,Mon Apr 06 22:28:38 PDT 2009,i do not understand     i really do not
